customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,num_services,support_tickets,avg_monthly_usage,usage_trend,segment,senior_citizen,dependents,partner,churn,signup_date,last_interaction
CUST_000001,11,93.0,1037.13,Month-to-month,Electronic check,No,No,0,2,26.23,Stable,SMB,0,No,No,1,2025-10-13 19:58:42.110081,2026-08-11 19:58:42.125046
CUST_000002,72,38.45,2757.13,Month-to-month,Electronic check,Fiber optic,No,3,2,26.79,Increasing,SMB,0,No,No,0,2020-10-09 19:58:42.110104,2026-07-16 19:58:42.125103
CUST_000003,31,54.66,1773.17,Month-to-month,Electronic check,DSL,Yes,7,1,51.68,Declining,Consumer,0,No,No,1,2024-02-21 19:58:42.110109,2026-08-10 19:58:42.125110
CUST_000004,21,86.33,1761.98,One year,Electronic check,Fiber optic,Yes,1,1,94.87,Stable,SMB,0,No,No,1,2024-12-17 19:58:42.110112,2026-08-01 19:58:42.125114
CUST_000005,4,68.21,275.24,Month-to-month,Electronic check,Fiber optic,Yes,5,1,36.51,Stable,Consumer,0,No,No,0,2026-05-11 19:58:42.110115,2026-08-31 19:58:42.125119
CUST_000006,4,93.86,382.96,Two year,Electronic check,Fiber optic,Yes,2,2,41.21,Declining,Consumer,1,No,Yes,1,2026-05-11 19:58:42.110119,2026-08-01 19:58:42.125130
CUST_000007,1,116.12,119.9,Month-to-month,Electronic check,DSL,Yes,0,1,57.81,Declining,Consumer,0,No,No,1,2026-08-09 19:58:42.110134,2026-08-01 19:58:42.125135
CUST_000008,48,31.65,1505.07,One year,Mailed check,Fiber optic,Yes,1,3,43.08,Increasing,SMB,0,Yes,Yes,0,2022-09-29 19:58:42.110137,2026-07-25 19:58:42.125139
CUST_000009,22,90.96,2038.53,One year,Mailed check,Fiber optic,Yes,3,2,42.32,Increasing,Enterprise,0,No,No,0,2024-11-17 19:58:42.110140,2026-09-03 19:58:42.125146
CUST_000010,29,43.03,1223.31,One year,Electronic check,DSL,No,2,2,79.89,Declining,Enterprise,0,No,Yes,0,2024-04-21 19:58:42.110143,2026-07-23 19:58:42.125151
CUST_000011,1,61.45,61.05,Two year,Credit card,No,No,3,0,21.8,Increasing,Consumer,0,No,No,0,2026-08-09 19:58:42.110146,2026-09-01 19:58:42.125155
CUST_000012,72,23.29,1743.22,One year,Bank transfer,Fiber optic,Yes,4,4,41.94,Stable,Enterprise,0,No,No,0,2020-10-09 19:58:42.110149,2026-07-25 19:58:42.125159
CUST_000013,42,33.59,1474.25,Two year,Bank transfer,Fiber optic,Yes,2,1,18.19,Increasing,Enterprise,0,No,No,0,2023-03-28 19:58:42.110151,2026-08-28 19:58:42.125164
CUST_000014,5,51.98,265.59,Month-to-month,Credit card,Fiber optic,Yes,2,4,38.5,Stable,SMB,1,Yes,No,0,2026-04-11 19:58:42.110154,2026-07-24 19:58:42.125168
CUST_000015,4,54.2,214.08,Month-to-month,Electronic check,DSL,Yes,2,2,65.02,Increasing,Consumer,0,No,Yes,1,2026-05-11 19:58:42.110157,2026-08-16 19:58:42.125172
CUST_000016,4,109.96,453.92,Month-to-month,Mailed check,Fiber optic,Yes,0,2,51.49,Stable,Enterprise,0,No,No,1,2026-05-11 19:58:42.110159,2026-07-13 19:58:42.125177
CUST_000017,8,94.18,717.72,Month-to-month,Mailed check,DSL,No,3,5,69.74,Increasing,SMB,0,No,No,1,2026-01-11 19:58:42.110162,2026-07-30 19:58:42.125181
CUST_000018,17,117.22,1913.58,Month-to-month,Mailed check,Fiber optic,Yes,4,1,63.61,Stable,Consumer,0,No,No,0,2025-04-16 19:58:42.110164,2026-08-12 19:58:42.125185
CUST_000019,13,79.91,1055.59,Month-to-month,Electronic check,Fiber optic,Yes,6,1,99.44,Stable,Consumer,0,Yes,No,1,2025-08-14 19:58:42.110167,2026-09-06 19:58:42.125190
CUST_000020,8,44.17,345.98,Month-to-month,Credit card,DSL,Yes,6,1,43.73,Stable,Consumer,0,No,No,0,2026-01-11 19:58:42.110169,2026-08-14 19:58:42.125194
CUST_000021,22,52.77,1213.34,Month-to-month,Electronic check,Fiber optic,Yes,5,0,39.72,Stable,Consumer,0,No,Yes,0,2024-11-17 19:58:42.110172,2026-08-21 19:58:42.125198
CUST_000022,3,51.98,154.94,Month-to-month,Credit card,Fiber optic,Yes,4,3,54.11,Declining,Consumer,1,No,Yes,1,2026-06-10 19:58:42.110174,2026-08-28 19:58:42.125202
CUST_000023,8,52.65,418.22,Two year,Bank transfer,Fiber optic,Yes,3,2,59.58,Increasing,SMB,0,Yes,No,0,2026-01-11 19:58:42.110177,2026-08-23 19:58:42.125207
CUST_000024,10,87.3,888.55,Month-to-month,Bank transfer,Fiber optic,Yes,4,2,35.61,Declining,Enterprise,0,No,Yes,1,2025-11-12 19:58:42.110179,2026-07-23 19:58:42.125211
CUST_000025,14,73.08,1050.5,One year,Electronic check,DSL,Yes,3,3,59.48,Stable,Enterprise,0,No,No,0,2025-07-15 19:58:42.110181,2026-07-11 19:58:42.125215
CUST_000026,36,58.54,2102.29,Month-to-month,Mailed check,Fiber optic,No,4,1,55.49,Declining,SMB,0,No,Yes,1,2023-09-24 19:58:42.110184,2026-08-30 19:58:42.125220
CUST_000027,5,34.91,169.56,Two year,Electronic check,DSL,Yes,2,1,73.68,Declining,Enterprise,0,No,No,0,2026-04-11 19:58:42.110187,2026-07-21 19:58:42.125224
CUST_000028,17,22.21,387.89,Two year,Electronic check,Fiber optic,Yes,2,3,86.98,Increasing,SMB,0,No,No,1,2025-04-16 19:58:42.110189,2026-08-25 19:58:42.125229
CUST_000029,21,41.88,863.68,One year,Credit card,DSL,Yes,0,0,46.29,Increasing,Consumer,0,Yes,No,0,2024-12-17 19:58:42.110192,2026-08-06 19:58:42.125233
CUST_000030,1,30.75,29.75,One year,Mailed check,DSL,Yes,1,3,74.71,Stable,SMB,0,No,No,0,2026-08-09 19:58:42.110193,2026-08-30 19:58:42.125237
CUST_000031,22,98.54,2196.42,Month-to-month,Mailed check,Fiber optic,Yes,2,2,49.46,Stable,SMB,1,No,Yes,0,2024-11-17 19:58:42.110194,2026-09-04 19:58:42.125241
CUST_000032,4,31.25,119.88,Two year,Credit card,DSL,Yes,3,0,51.46,Stable,Consumer,0,Yes,Yes,0,2026-05-11 19:58:42.110196,2026-07-31 19:58:42.125245
CUST_000033,1,92.42,96.78,Two year,Electronic check,No,Yes,1,4,71.96,Declining,Consumer,0,No,Yes,1,2026-08-09 19:58:42.110198,2026-08-16 19:58:42.125250
CUST_000034,71,58.57,4213.53,Two year,Bank transfer,Fiber optic,Yes,2,2,51.28,Stable,Enterprise,1,No,No,0,2020-11-08 19:58:42.110199,2026-07-11 19:58:42.125254
CUST_000035,72,27.34,2064.13,One year,Bank transfer,No,Yes,2,4,31.79,Increasing,Consumer,0,No,Yes,0,2020-10-09 19:58:42.110201,2026-08-14 19:58:42.125259
CUST_000036,39,101.27,3885.9,Month-to-month,Mailed check,Fiber optic,Yes,1,1,26.06,Stable,SMB,0,Yes,Yes,1,2023-06-26 19:58:42.110202,2026-09-03 19:58:42.125263
CUST_000037,8,77.96,653.07,Two year,Credit card,DSL,No,4,2,80.32,Increasing,Consumer,0,No,No,0,2026-01-11 19:58:42.110204,2026-08-01 19:58:42.125267
CUST_000038,2,43.58,84.07,Month-to-month,Credit card,Fiber optic,Yes,5,2,27.32,Declining,Enterprise,1,Yes,No,0,2026-07-10 19:58:42.110205,2026-08-05 19:58:42.125271
CUST_000039,27,109.47,2819.93,One year,Mailed check,DSL,No,2,6,97.31,Stable,Consumer,0,No,Yes,0,2024-06-20 19:58:42.110207,2026-07-16 19:58:42.125275
CUST_000040,13,24.53,304.0,Month-to-month,Mailed check,Fiber optic,Yes,4,1,57.28,Stable,Consumer,1,No,Yes,0,2025-08-14 19:58:42.110209,2026-07-20 19:58:42.125280
CUST_000041,3,40.18,120.12,Two year,Mailed check,Fiber optic,Yes,5,2,42.94,Stable,Enterprise,0,No,No,0,2026-06-10 19:58:42.110210,2026-08-04 19:58:42.125284
CUST_000042,16,95.2,1459.68,Month-to-month,Bank transfer,Fiber optic,No,3,0,23.67,Stable,Consumer,0,Yes,No,1,2025-05-16 19:58:42.110212,2026-07-31 19:58:42.125289
CUST_000043,1,90.94,91.05,Month-to-month,Bank transfer,DSL,Yes,1,3,32.08,Stable,Consumer,1,Yes,No,1,2026-08-09 19:58:42.110213,2026-08-22 19:58:42.125293
CUST_000044,57,48.93,2740.9,One year,Electronic check,Fiber optic,Yes,0,2,47.57,Increasing,Consumer,0,No,No,0,2022-01-02 19:58:42.110215,2026-09-02 19:58:42.125297
CUST_000045,7,26.2,180.39,One year,Electronic check,Fiber optic,Yes,4,2,34.85,Increasing,SMB,0,No,Yes,1,2026-02-10 19:58:42.110216,2026-09-01 19:58:42.125301
CUST_000046,26,105.81,2788.37,One year,Credit card,Fiber optic,Yes,6,3,54.95,Stable,SMB,0,No,Yes,0,2024-07-20 19:58:42.110218,2026-07-23 19:58:42.125306
CUST_000047,8,51.37,397.11,Month-to-month,Electronic check,DSL,No,1,2,25.27,Stable,SMB,1,No,No,1,2026-01-11 19:58:42.110219,2026-07-25 19:58:42.125310
CUST_000048,17,39.57,690.62,Month-to-month,Bank transfer,Fiber optic,Yes,4,1,28.04,Stable,Consumer,1,No,Yes,0,2025-04-16 19:58:42.110221,2026-07-26 19:58:42.125314
CUST_000049,18,71.61,1299.55,One year,Credit card,Fiber optic,No,4,1,30.97,Declining,SMB,0,Yes,No,0,2025-03-17 19:58:42.110222,2026-08-26 19:58:42.125318
CUST_000050,4,111.02,462.51,Two year,Electronic check,Fiber optic,Yes,5,2,46.94,Declining,Enterprise,1,No,Yes,1,2026-05-11 19:58:42.110223,2026-08-09 19:58:42.125323
CUST_000051,72,24.35,1729.5,Two year,Bank transfer,Fiber optic,Yes,3,1,37.43,Increasing,Consumer,0,Yes,No,0,2020-10-09 19:58:42.110225,2026-09-02 19:58:42.125327
CUST_000052,35,96.58,3543.47,Month-to-month,Electronic check,Fiber optic,Yes,2,2,35.19,Stable,Consumer,0,No,Yes,1,2023-10-24 19:58:42.110226,2026-09-06 19:58:42.125331
CUST_000053,67,77.25,5215.0,Two year,Credit card,DSL,Yes,0,2,25.31,Increasing,SMB,0,Yes,Yes,0,2021-03-08 19:58:42.110228,2026-08-20 19:58:42.125335
CUST_000054,54,62.54,3537.04,Month-to-month,Electronic check,No,Yes,6,3,25.44,Increasing,Consumer,0,No,No,0,2022-04-02 19:58:42.110230,2026-08-27 19:58:42.125340
CUST_000055,21,94.41,1888.84,Month-to-month,Mailed check,Fiber optic,Yes,2,1,29.47,Declining,SMB,0,No,Yes,1,2024-12-17 19:58:42.110231,2026-08-15 19:58:42.125344
CUST_000056,61,116.58,7273.5,Month-to-month,Mailed check,Fiber optic,Yes,4,3,65.98,Declining,SMB,0,No,No,0,2021-09-04 19:58:42.110233,2026-07-12 19:58:42.125348
