transaction_id,customer_id,transaction_date,amount,transaction_type,payment_status
TXN_00000000,CUST_001825,2025-10-22 19:58:42.210082,56.96,Purchase,Completed
TXN_00000001,CUST_000410,2024-11-19 19:58:42.210269,93.31,Purchase,Completed
TXN_00000002,CUST_004507,2025-10-22 19:58:42.210347,11.47,Subscription,Completed
TXN_00000003,CUST_004013,2025-06-15 19:58:42.210416,10.57,Purchase,Failed
TXN_00000004,CUST_003658,2026-04-28 19:58:42.210471,22.49,Purchase,Completed
TXN_00000005,CUST_002287,2024-10-20 19:58:42.210526,36.88,Subscription,Completed
TXN_00000006,CUST_001680,2025-11-07 19:58:42.210578,34.34,Upgrade,Completed
TXN_00000007,CUST_008936,2026-06-15 19:58:42.210631,14.31,Subscription,Completed
TXN_00000008,CUST_001425,2026-03-22 19:58:42.210683,30.2,Purchase,Completed
TXN_00000009,CUST_009675,2025-07-24 19:58:42.210735,60.58,Upgrade,Failed
TXN_00000010,CUST_006913,2024-10-09 19:58:42.210794,175.42,Subscription,Completed
TXN_00000011,CUST_000521,2025-07-04 19:58:42.210847,18.33,Purchase,Completed
TXN_00000012,CUST_000489,2025-02-02 19:58:42.210901,59.55,Purchase,Completed
TXN_00000013,CUST_001536,2025-11-19 19:58:42.210960,91.61,Subscription,Completed
TXN_00000014,CUST_003583,2025-05-28 19:58:42.211012,39.44,Purchase,Completed
TXN_00000015,CUST_003812,2024-11-20 19:58:42.211063,51.65,Purchase,Completed
TXN_00000016,CUST_008280,2025-07-22 19:58:42.211114,57.02,Purchase,Completed
TXN_00000017,CUST_009864,2024-10-03 19:58:42.211178,46.38,Subscription,Completed
TXN_00000018,CUST_000435,2025-09-08 19:58:42.211230,17.8,Purchase,Completed
TXN_00000019,CUST_009196,2025-12-01 19:58:42.211281,78.31,Purchase,Pending
TXN_00000020,CUST_003258,2025-11-30 19:58:42.211347,73.67,Subscription,Completed
TXN_00000021,CUST_008929,2026-02-19 19:58:42.211411,80.39,Subscription,Completed
TXN_00000022,CUST_006874,2025-05-26 19:58:42.211469,55.13,Upgrade,Pending
TXN_00000023,CUST_003612,2025-03-02 19:58:42.211522,145.73,Subscription,Completed
TXN_00000024,CUST_007360,2026-08-05 19:58:42.211573,25.25,Subscription,Completed
TXN_00000025,CUST_009655,2025-09-17 19:58:42.211625,77.33,Purchase,Completed
TXN_00000026,CUST_004558,2026-03-29 19:58:42.211677,24.72,Purchase,Completed
TXN_00000027,CUST_000107,2025-09-10 19:58:42.211731,28.67,Subscription,Completed
TXN_00000028,CUST_002616,2026-01-28 19:58:42.211782,85.01,Purchase,Failed
TXN_00000029,CUST_006925,2025-12-19 19:58:42.211834,103.18,Subscription,Completed
TXN_00000030,CUST_005575,2026-01-02 19:58:42.211889,65.18,Refund,Completed
TXN_00000031,CUST_004553,2026-03-22 19:58:42.211941,43.15,Purchase,Completed
TXN_00000032,CUST_002548,2026-05-23 19:58:42.211993,23.85,Subscription,Completed
TXN_00000033,CUST_003528,2025-03-13 19:58:42.212045,43.4,Purchase,Completed
TXN_00000034,CUST_005515,2025-10-26 19:58:42.212096,16.43,Purchase,Completed
TXN_00000035,CUST_001675,2024-10-06 19:58:42.212158,142.9,Purchase,Completed
TXN_00000036,CUST_001520,2025-09-20 19:58:42.212210,27.28,Purchase,Completed
TXN_00000037,CUST_006225,2024-11-30 19:58:42.212261,37.62,Purchase,Completed
TXN_00000038,CUST_001585,2026-05-01 19:58:42.212318,41.57,Purchase,Completed
TXN_00000039,CUST_005882,2026-07-03 19:58:42.212379,11.31,Subscription,Completed
TXN_00000040,CUST_005636,2025-09-04 19:58:42.212441,85.68,Upgrade,Failed
TXN_00000042,CUST_004334,2026-05-20 19:58:42.212528,42.65,Purchase,Failed
TXN_00000043,CUST_000712,2024-10-14 19:58:42.212581,72.73,Subscription,Completed
TXN_00000044,CUST_007528,2026-08-01 19:58:42.212632,23.81,Purchase,Completed
TXN_00000045,CUST_008786,2026-06-23 19:58:42.212684,191.42,Upgrade,Completed
TXN_00000046,CUST_002046,2026-07-26 19:58:42.212735,53.37,Purchase,Completed
TXN_00000047,CUST_006202,2026-02-10 19:58:42.212789,188.63,Subscription,Completed
TXN_00000048,CUST_001292,2026-04-05 19:58:42.212841,29.39,Upgrade,Completed
TXN_00000049,CUST_009045,2025-03-16 19:58:42.212892,44.9,Subscription,Completed
TXN_00000050,CUST_004804,2026-08-25 19:58:42.212947,53.58,Subscription,Completed
TXN_00000051,CUST_005926,2025-06-27 19:58:42.213001,98.81,Upgrade,Completed
TXN_00000052,CUST_009460,2024-11-01 19:58:42.213053,26.63,Purchase,Completed
TXN_00000053,CUST_003151,2024-10-26 19:58:42.213105,105.02,Purchase,Completed
TXN_00000054,CUST_001140,2026-02-20 19:58:42.213169,15.65,Subscription,Completed
TXN_00000055,CUST_000751,2026-06-21 19:58:42.213221,31.9,Purchase,Completed
TXN_00000056,CUST_003734,2026-08-25 19:58:42.213274,42.64,Subscription,Completed
TXN_00000057,CUST_004742,2026-08-12 19:58:42.213339,44.49,Purchase,Completed
TXN_00000058,CUST_001308,2026-01-02 19:58:42.213402,112.98,Purchase,Completed
TXN_00000059,CUST_003815,2025-05-07 19:58:42.213455,115.03,Purchase,Completed
TXN_00000060,CUST_001655,2025-06-03 19:58:42.213507,23.96,Subscription,Failed
TXN_00000061,CUST_006228,2025-01-10 19:58:42.213558,184.02,Purchase,Completed
TXN_00000062,CUST_004555,2025-03-03 19:58:42.213610,84.65,Purchase,Completed
TXN_00000063,CUST_007429,2025-06-29 19:58:42.213662,62.79,Subscription,Completed
TXN_00000064,CUST_005978,2026-04-03 19:58:42.213714,123.56,Purchase,Completed
TXN_00000065,CUST_002665,2025-02-23 19:58:42.213766,43.06,Subscription,Completed
TXN_00000066,CUST_006066,2024-12-30 19:58:42.213824,37.68,Purchase,Failed
TXN_00000067,CUST_005821,2025-05-17 19:58:42.213877,79.65,Purchase,Completed
TXN_00000068,CUST_003433,2026-03-14 19:58:42.213929,38.7,Refund,Completed
TXN_00000069,CUST_004375,2026-05-26 19:58:42.213981,43.72,Subscription,Completed
TXN_00000070,CUST_001170,2024-09-16 19:58:42.214036,188.44,Purchase,Completed
TXN_00000071,CUST_009981,2025-04-15 19:58:42.214088,34.96,Purchase,Completed
TXN_00000072,CUST_002804,2024-12-09 19:58:42.214150,13.23,Subscription,Completed
TXN_00000073,CUST_008752,2026-04-07 19:58:42.214203,21.41,Subscription,Failed
TXN_00000074,CUST_004011,2025-09-05 19:58:42.214259,10.45,Refund,Completed
TXN_00000075,CUST_002678,2026-02-16 19:58:42.214320,13.87,Purchase,Completed
TXN_00000076,CUST_007574,2025-11-19 19:58:42.214377,53.22,Purchase,Completed
TXN_00000077,CUST_006217,2026-05-18 19:58:42.214439,16.6,Purchase,Completed
TXN_00000078,CUST_004423,2025-07-29 19:58:42.214491,67.67,Subscription,Completed
TXN_00000079,CUST_009126,2025-09-22 19:58:42.214543,50.33,Purchase,Completed
TXN_00000080,CUST_003599,2025-10-20 19:58:42.214596,115.26,Refund,Completed
TXN_00000081,CUST_005314,2024-11-12 19:58:42.214647,37.76,Subscription,Completed
TXN_00000082,CUST_000917,2025-02-10 19:58:42.214699,156.42,Purchase,Completed
TXN_00000083,CUST_003753,2025-09-06 19:58:42.214751,278.61,Subscription,Completed
TXN_00000084,CUST_000526,2025-03-05 19:58:42.214802,153.46,Purchase,Completed
TXN_00000085,CUST_005169,2025-10-27 19:58:42.214854,15.76,Upgrade,Failed
TXN_00000086,CUST_006573,2025-09-25 19:58:42.214905,31.53,Subscription,Completed
TXN_00000087,CUST_004387,2024-11-26 19:58:42.214956,21.28,Subscription,Completed
TXN_00000089,CUST_003457,2024-11-25 19:58:42.215040,81.03,Subscription,Completed
TXN_00000090,CUST_009293,2025-09-07 19:58:42.215096,78.9,Purchase,Completed
TXN_00000091,CUST_005156,2025-11-24 19:58:42.215159,18.25,Purchase,Completed
TXN_00000092,CUST_003484,2026-04-23 19:58:42.215214,67.1,Purchase,Completed
TXN_00000093,CUST_008180,2026-07-04 19:58:42.215267,62.63,Purchase,Failed
TXN_00000094,CUST_006483,2026-07-10 19:58:42.215327,58.33,Purchase,Completed
TXN_00000096,CUST_002341,2025-11-13 19:58:42.215425,92.77,Refund,Completed
TXN_00000097,CUST_004340,2025-07-24 19:58:42.215478,46.36,Purchase,Completed
TXN_00000098,CUST_002288,2026-03-26 19:58:42.215535,19.27,Purchase,Completed
TXN_00000099,CUST_004041,2026-02-01 19:58:42.215587,11.61,Purchase,Failed
TXN_00000100,CUST_009198,2025-07-14 19:58:42.215638,53.36,Purchase,Completed
TXN_00000101,CUST_008831,2024-12-20 19:58:42.215690,34.47,Purchase,Completed
TXN_00000102,CUST_004305,2025-08-16 19:58:42.215741,84.12,Purchase,Completed
TXN_00000103,CUST_009578,2026-04-27 19:58:42.215792,64.63,Subscription,Completed
TXN_00000104,CUST_007020,2026-06-02 19:58:42.215843,44.5,Subscription,Completed
